ts,time,TAC,blocked,cutoff,volte,msg,tot
1018000,10/18/18 00:00,27214,33,66,9480,825,23601
1018000,10/18/18 00:00,28672,0,0,288,6,678
1018000,10/18/18 00:00,28681,26,160,25916,1415,64387
1018000,10/18/18 00:00,28682,91,154,56631,2407,130344
1018000,10/18/18 00:00,28683,130,91,31625,964,74999
1018000,10/18/18 00:00,28684,168,158,54306,1812,135796
1018000,10/18/18 00:00,28685,140,259,52281,2291,134057
1018000,10/18/18 00:00,28688,174,166,46235,1919,106692
1018000,10/18/18 00:00,29449,95,289,10929,586,28703
1018000,10/18/18 00:00,29465,17,123,5078,361,12699
1018001,10/18/18 00:10,27214,33,96,8760,909,22092
1018001,10/18/18 00:10,28672,0,0,294,6,786
1018001,10/18/18 00:10,28681,61,229,23416,1679,61678
1018001,10/18/18 00:10,28682,108,194,52537,2118,125312
1018001,10/18/18 00:10,28683,25,126,27179,653,68829
1018001,10/18/18 00:10,28684,92,347,49210,1724,126126
1018001,10/18/18 00:10,28685,141,234,49042,1940,126832
1018001,10/18/18 00:10,28688,142,154,45828,1698,105636
1018001,10/18/18 00:10,29449,222,221,11231,367,28163
1018001,10/18/18 00:10,29465,21,35,4471,276,11535
1018002,10/18/18 00:20,27214,27,54,7887,726,20577
1018002,10/18/18 00:20,28672,0,6,312,60,972
1018002,10/18/18 00:20,28681,97,135,24503,1565,58704
1018002,10/18/18 00:20,28682,243,196,48201,1713,119715
1018002,10/18/18 00:20,28683,44,110,26488,749,66469
1018002,10/18/18 00:20,28684,67,232,45460,1497,119072
1018002,10/18/18 00:20,28685,182,223,46331,1985,125320
1018002,10/18/18 00:20,28688,217,304,43785,1715,104924
1018002,10/18/18 00:20,29449,222,183,10283,538,26868
1018002,10/18/18 00:20,29465,8,31,4331,280,10957
1018003,10/18/18 00:30,27214,66,183,8421,678,21375
1018003,10/18/18 00:30,28672,6,6,324,6,822
1018003,10/18/18 00:30,28681,66,209,21400,1948,58043
1018003,10/18/18 00:30,28682,62,198,46990,2100,116836
1018003,10/18/18 00:30,28683,48,75,24215,805,62488
1018003,10/18/18 00:30,28684,74,240,43335,1825,116376
1018003,10/18/18 00:30,28685,182,291,43250,2102,120544
1018003,10/18/18 00:30,28688,70,191,40785,1900,99338
1018003,10/18/18 00:30,29449,124,202,11484,712,28426
1018003,10/18/18 00:30,29465,3,10,3952,225,10627
1018004,10/18/18 00:40,27214,24,72,7929,756,19647
1018004,10/18/18 00:40,28672,0,12,252,6,786
1018004,10/18/18 00:40,28681,67,119,20455,1759,56780
1018004,10/18/18 00:40,28682,173,184,43926,2423,113746
1018004,10/18/18 00:40,28683,12,207,22004,940,58694
1018004,10/18/18 00:40,28684,52,134,39818,1412,112418
1018004,10/18/18 00:40,28685,126,162,41588,1622,118926
1018004,10/18/18 00:40,28688,112,233,37605,2520,96465
1018004,10/18/18 00:40,29449,121,175,8609,670,24207
1018004,10/18/18 00:40,29465,32,37,3507,290,10388
1018005,10/18/18 00:50,27214,69,108,6903,1026,19107
1018005,10/18/18 00:50,28672,0,0,186,12,732
1018005,10/18/18 00:50,28681,77,131,20333,1444,55531
1018005,10/18/18 00:50,28682,180,287,42275,2492,114082
1018005,10/18/18 00:50,28683,20,159,21669,821,58487
1018005,10/18/18 00:50,28684,42,177,36726,1374,106308
1018005,10/18/18 00:50,28685,72,106,39279,1851,113916
1018005,10/18/18 00:50,28688,113,251,35890,2148,95721
1018005,10/18/18 00:50,29449,131,147,8976,546,23844
1018005,10/18/18 00:50,29465,6,26,3998,289,10804
1018010,10/18/18 01:00,27214,27,63,6885,714,18891
1018010,10/18/18 01:00,28672,0,0,276,18,834
1018010,10/18/18 01:00,28681,20,156,19394,1581,55674
1018010,10/18/18 01:00,28682,146,297,43810,2349,114476
1018010,10/18/18 01:00,28683,32,86,20758,598,57922
1018010,10/18/18 01:00,28684,124,122,36159,1709,106105
1018010,10/18/18 01:00,28685,144,268,38890,1809,114450
1018010,10/18/18 01:00,28688,116,141,35408,1816,92686
1018010,10/18/18 01:00,29449,70,165,8253,454,22180
1018010,10/18/18 01:00,29465,0,39,3934,169,10646
1018011,10/18/18 01:10,27214,0,87,6663,795,19701
1018011,10/18/18 01:10,28672,0,6,192,18,594
1018011,10/18/18 01:10,28681,78,109,18158,1296,52919
1018011,10/18/18 01:10,28682,85,163,39844,2474,108769
1018011,10/18/18 01:10,28683,29,50,19320,678,54104
1018011,10/18/18 01:10,28684,72,108,33769,1473,106163
1018011,10/18/18 01:10,28685,68,279,36083,2333,111282
1018011,10/18/18 01:10,28688,76,256,34016,2305,91830
1018011,10/18/18 01:10,29449,71,108,7820,795,21586
1018011,10/18/18 01:10,29465,16,41,3255,252,10345
1018012,10/18/18 01:20,27214,18,165,7068,1014,21165
1018012,10/18/18 01:20,28672,0,0,264,18,900
1018012,10/18/18 01:20,28681,17,79,17946,1087,52160
1018012,10/18/18 01:20,28682,120,162,38069,1993,104945
1018012,10/18/18 01:20,28683,15,60,19884,666,54127
1018012,10/18/18 01:20,28684,85,155,31690,1408,99265
1018012,10/18/18 01:20,28685,99,156,31854,1800,104399
1018012,10/18/18 01:20,28688,61,128,32603,2014,91748
1018012,10/18/18 01:20,29449,71,109,7107,467,20656
1018012,10/18/18 01:20,29465,15,45,3012,160,9729
1018013,10/18/18 01:30,27214,0,108,5793,786,18075
1018013,10/18/18 01:30,28672,0,6,192,30,762
1018013,10/18/18 01:30,28681,77,201,18050,1143,53689
1018013,10/18/18 01:30,28682,78,150,35389,1715,105573
1018013,10/18/18 01:30,28683,52,24,19131,676,54766
1018013,10/18/18 01:30,28684,37,152,29764,1247,99065
1018013,10/18/18 01:30,28685,91,188,31782,1542,103511
1018013,10/18/18 01:30,28688,86,122,31016,1663,87011
1018013,10/18/18 01:30,29449,74,171,6563,469,20381
1018013,10/18/18 01:30,29465,0,17,2993,198,10129
1018014,10/18/18 01:40,27214,60,81,5580,597,16530
1018014,10/18/18 01:40,28672,0,0,198,18,714
1018014,10/18/18 01:40,28681,46,113,15145,1657,50847
1018014,10/18/18 01:40,28682,62,154,33864,1679,103806
1018014,10/18/18 01:40,28683,12,122,17566,622,51056
1018014,10/18/18 01:40,28684,69,170,27367,1732,94071
1018014,10/18/18 01:40,28685,73,175,30017,1440,101538
1018014,10/18/18 01:40,28688,71,166,29003,1405,84925
1018014,10/18/18 01:40,29449,106,100,5926,437,19049
1018014,10/18/18 01:40,29465,22,41,2604,263,8970
1018015,10/18/18 01:50,27214,48,93,5196,990,17265
1018015,10/18/18 01:50,28672,0,0,144,12,648
1018015,10/18/18 01:50,28681,64,193,15153,1882,49384
1018015,10/18/18 01:50,28682,69,139,33422,1480,99488
1018015,10/18/18 01:50,28683,6,52,17671,718,50205
1018015,10/18/18 01:50,28684,56,146,26389,1472,93282
1018015,10/18/18 01:50,28685,72,137,27755,1879,97779
1018015,10/18/18 01:50,28688,139,120,26911,1222,80734
1018015,10/18/18 01:50,29449,71,137,5547,820,18363
1018015,10/18/18 01:50,29465,10,81,2709,356,8842
1018020,10/18/18 02:00,27214,39,108,4725,687,16146
1018020,10/18/18 02:00,28672,6,6,216,24,756
1018020,10/18/18 02:00,28681,100,125,14587,1471,46928
1018020,10/18/18 02:00,28682,37,59,30191,1446,96427
1018020,10/18/18 02:00,28683,54,64,18076,474,50460
1018020,10/18/18 02:00,28684,22,137,24977,1339,89520
1018020,10/18/18 02:00,28685,150,142,28078,1409,98166
1018020,10/18/18 02:00,28688,59,132,25978,1303,80965
1018020,10/18/18 02:00,29449,52,121,5576,427,18338
1018020,10/18/18 02:00,29465,7,51,2426,171,8518
1018021,10/18/18 02:10,27214,6,54,3756,453,15201
1018021,10/18/18 02:10,28672,0,0,156,36,822
1018021,10/18/18 02:10,28681,43,137,14135,1433,47607
1018021,10/18/18 02:10,28682,106,157,30314,1923,93754
1018021,10/18/18 02:10,28683,49,77,17231,510,50135
1018021,10/18/18 02:10,28684,40,142,23415,1411,88788
1018021,10/18/18 02:10,28685,156,140,25331,1735,95370
1018021,10/18/18 02:10,28688,81,131,25683,1151,78969
1018021,10/18/18 02:10,29449,53,145,4634,456,16574
1018021,10/18/18 02:10,29465,13,50,2547,197,9104
1018022,10/18/18 02:20,27214,30,30,3942,540,15654
1018022,10/18/18 02:20,28672,0,0,144,30,594
1018022,10/18/18 02:20,28681,106,111,11839,1510,45959
1018022,10/18/18 02:20,28682,34,159,26164,2126,89830
1018022,10/18/18 02:20,28683,48,91,16417,462,47361
1018022,10/18/18 02:20,28684,6,134,21141,1126,82558
1018022,10/18/18 02:20,28685,39,190,23670,1264,92675
1018022,10/18/18 02:20,28688,65,187,22725,1148,74619
1018022,10/18/18 02:20,29449,21,144,4355,502,17308
1018022,10/18/18 02:20,29465,0,6,1891,263,8125
1018023,10/18/18 02:30,27214,9,18,3546,684,14211
1018023,10/18/18 02:30,28672,0,0,174,12,672
1018023,10/18/18 02:30,28681,52,159,11339,2004,45115
1018023,10/18/18 02:30,28682,51,105,26637,1804,90022
1018023,10/18/18 02:30,28683,106,57,15413,562,49020
1018023,10/18/18 02:30,28684,84,143,19165,1087,80576
1018023,10/18/18 02:30,28685,120,139,22243,1322,91352
1018023,10/18/18 02:30,28688,95,111,21437,1300,73493
1018023,10/18/18 02:30,29449,39,70,3917,347,15543
1018023,10/18/18 02:30,29465,0,39,2131,241,7992
1018024,10/18/18 02:40,27214,0,27,3573,387,14598
1018024,10/18/18 02:40,28672,6,6,108,12,726
1018024,10/18/18 02:40,28681,20,78,10094,1265,44427
1018024,10/18/18 02:40,28682,20,96,24630,1725,91471
1018024,10/18/18 02:40,28683,42,56,14638,556,46961
1018024,10/18/18 02:40,28684,25,126,17243,1036,77657
1018024,10/18/18 02:40,28685,40,232,20262,1563,89173
1018024,10/18/18 02:40,28688,57,137,20491,1412,72396
